thr,N,M,time,K
1,150,15,0.000986334,243
1,150,15,0.000886541,368
1,150,15,0.0008765,304
1,150,15,0.000880709,396
1,150,15,0.00107362,252
1,150,15,0.00109158,201
1,150,15,0.000889666,288
1,150,15,0.000869292,242
1,150,15,0.00112879,233
1,150,15,0.000875958,273
1,150,15,0.00113675,348
1,150,15,0.000888333,253
1,150,15,0.000889375,280
1,150,15,0.00120892,220
1,150,15,0.000925125,268
1,150,15,0.00114513,258
1,150,15,0.000880292,307
1,150,15,0.00111654,171
1,150,15,0.000905833,342
1,150,15,0.000902458,372
1,150,15,0.000884916,473
1,150,15,0.000902,402
1,150,15,0.000876084,315
1,150,15,0.000999625,299
1,150,15,0.000899541,265
1,150,15,0.00224929,265
1,150,15,0.0008725,296
1,150,15,0.0009185,212
1,150,15,0.000900334,336
1,150,15,0.000884917,349
1,150,15,0.00135538,509
1,150,15,0.000877166,280
1,150,15,0.000880334,273
1,150,15,0.000868333,252
1,150,15,0.00094725,283
1,150,15,0.000915875,434
1,150,15,0.00258187,296
1,150,15,0.000894958,286
1,150,15,0.000905834,215
1,150,15,0.00101,312
1,150,15,0.000991042,314
1,150,15,0.000912958,341
1,150,15,0.000893875,298
1,150,15,0.000874334,293
1,150,15,0.000888,207
1,150,15,0.000900459,340
1,150,15,0.000900459,346
1,150,15,0.000880625,342
1,150,15,0.00129421,271
1,150,15,0.000890125,293
1,150,15,0.000895292,386
1,150,15,0.00210954,187
1,150,15,0.00144713,322
1,150,15,0.00110629,359
4,150,15,0.000656167,286
4,150,15,0.000512583,334
4,150,15,0.000767,215
4,150,15,0.000905458,246
4,150,15,0.00050725,404
4,150,15,0.000639125,231
4,150,15,0.000499792,234
4,150,15,0.000511708,373
4,150,15,0.000780334,392
4,150,15,0.000522875,316
4,150,15,0.00151533,256
4,150,15,0.000707708,320
4,150,15,0.000596125,243
4,150,15,0.000628667,275
4,150,15,0.000706792,390
4,150,15,0.000765,299
4,150,15,0.0006965,245
4,150,15,0.000515666,271
4,150,15,0.000558417,296
4,150,15,0.00090725,229
4,150,15,0.000510917,272
4,150,15,0.000720375,316
4,150,15,0.000512125,406
4,150,15,0.000574542,289
4,150,15,0.000646458,312
4,150,15,0.000518584,286
4,150,15,0.000649709,241
4,150,15,0.000616625,281
4,150,15,0.000659583,280
4,150,15,0.000646833,318
4,150,15,0.000567875,213
4,150,15,0.000794542,257
4,150,15,0.000639958,335
4,150,15,0.00142904,278
4,150,15,0.000797042,315
4,150,15,0.000597208,334
4,150,15,0.000569,283
4,150,15,0.000633417,244
4,150,15,0.000529584,383
4,150,15,0.000574167,238
4,150,15,0.00058325,138
4,150,15,0.0005785,278
4,150,15,0.000583333,383
4,150,15,0.000529417,250
4,150,15,0.000628666,290
4,150,15,0.000875542,271
4,150,15,0.000514584,180
4,150,15,0.00056525,205
4,150,15,0.000898833,189
4,150,15,0.000521625,342
4,150,15,0.000717875,224
4,150,15,0.00054025,333
4,150,15,0.000769333,276
4,150,15,0.000534458,300
4,150,15,0.000587042,288
4,150,15,0.0007705,268
4,150,15,0.0006495,137
4,150,15,0.000490792,233
4,150,15,0.000561791,319
4,150,15,0.000796041,301
4,150,15,0.00133162,469
